"Size_class","id","year","fhours","depth","sst","lon","lat","catch"
"large","2002-280408",2002,8,-150,24.44,-74.6166666666667,38.8166666666667,0
"small","2002-280409",2002,7,-150,23.89,-74.8333333333333,37.6666666666667,2
"large","2002-280409",2002,7,-150,23.89,-74.8333333333333,37.6666666666667,0
"small","2002-280410",2002,7,-145,24.44,-74.6166666666667,38.8166666666667,2
"large","2002-280410",2002,7,-145,24.44,-74.6166666666667,38.8166666666667,0
"small","2002-280414",2002,7,-135,23.89,-74.8333333333333,37.6666666666667,0
"large","2002-280414",2002,7,-135,23.89,-74.8333333333333,37.6666666666667,0
"small","2002-280417",2002,7,-120,23.89,-74.8333333333333,37.6666666666667,1
"large","2002-280417",2002,7,-120,23.89,-74.8333333333333,37.6666666666667,0
"small","2002-280801",2002,4,-85,22.22,-75.1666666666667,37.25,1
"large","2002-280801",2002,4,-85,22.22,-75.1666666666667,37.25,0
"small","2002-280815",2002,7,-160,24.44,-74.75,37.4166666666667,3
"large","2002-280815",2002,7,-160,24.44,-74.75,37.4166666666667,0
"small","2002-282601",2002,7,-122,23.89,-74.2833333333333,38.1,0
